Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,466488,-,-,-,46.73,4.78,1,200,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Wind Speed,Temperature,Relative Humidity
2019,1,1,0,30,0,0,0,0.6000000000000001,1.3,90.67
2019,1,1,1,30,0,0,0,1.9000000000000001,2.2,98.15
2019,1,1,2,30,0,0,0,1.9000000000000001,2.1,98.3
2019,1,1,3,30,0,0,0,1.8,2,97.67
2019,1,1,4,30,0,0,0,1.7000000000000002,1.8,97.53
2019,1,1,5,30,0,0,0,1.6,1.7000000000000002,97.10000000000001
2019,1,1,6,30,0,0,0,1.4000000000000001,1.5,97.59
2019,1,1,7,30,0,0,0,1.3,1.5,96.75
2019,1,1,8,30,0,0,0,1.4000000000000001,1.8,94.3
2019,1,1,9,30,107,501,39,1.4000000000000001,2.6,92.10000000000001
2019,1,1,10,30,15,0,15,1.4000000000000001,3.7,90.12
2019,1,1,11,30,303,754,66,1.7000000000000002,4.9,87.75
2019,1,1,12,30,25,0,25,2,5.800000000000001,84.82000000000001
2019,1,1,13,30,23,0,23,2.2,6.300000000000001,82.45
2019,1,1,14,30,18,0,18,2,6.2,83.2
2019,1,1,15,30,164,599,50,1.4000000000000001,5.2,90.89
2019,1,1,16,30,46,291,26,1,3.8000000000000003,97.49000000000001
2019,1,1,17,30,0,0,0,1.1,3.1,99.96000000000001
2019,1,1,18,30,0,0,0,1.2000000000000002,2.8000000000000003,100
2019,1,1,19,30,0,0,0,1.3,2.6,100
2019,1,1,20,30,0,0,0,1.3,2.4000000000000004,100
2019,1,1,21,30,0,0,0,1.3,2.3000000000000003,100
2019,1,1,22,30,0,0,0,1.4000000000000001,2.4000000000000004,100
2019,1,1,23,30,0,0,0,1.5,2.7,100
2019,1,2,0,30,0,0,0,1.6,2.9000000000000004,99.67
2019,1,2,1,30,0,0,0,1.8,3.3000000000000003,98.55
2019,1,2,2,30,0,0,0,2,3.2,99.45
2019,1,2,3,30,0,0,0,2.5,3,99.45
2019,1,2,4,30,0,0,0,3.1,2.7,98.96000000000001
2019,1,2,5,30,0,0,0,3.6,2.3000000000000003,98.38
2019,1,2,6,30,0,0,0,3.4000000000000004,1.6,99.08
2019,1,2,7,30,0,0,0,3.1,0.8,98.94
2019,1,2,8,30,0,0,0,3.4000000000000004,0.9,93.66
2019,1,2,9,30,50,18,47,4,1.7000000000000002,90.13
2019,1,2,10,30,224,669,61,4.3,2.8000000000000003,85.73
2019,1,2,11,30,309,762,69,4.6000000000000005,3.9000000000000004,78.56
2019,1,2,12,30,349,803,70,4.800000000000001,4.6000000000000005,70.37
2019,1,2,13,30,122,5,120,4.7,4.800000000000001,63.93
2019,1,2,14,30,107,12,104,4.4,4.6000000000000005,60.99
2019,1,2,15,30,14,0,14,3.5,3.5,65.08
2019,1,2,16,30,49,311,27,2.7,1.9000000000000001,74.91
2019,1,2,17,30,0,0,0,2.5,0.8,80.91
2019,1,2,18,30,0,0,0,2.8000000000000003,0.2,85.03
2019,1,2,19,30,0,0,0,3,-0.2,89.83
2019,1,2,20,30,0,0,0,3.2,-0.5,95.13
2019,1,2,21,30,0,0,0,3.2,-0.7000000000000001,98.8
2019,1,2,22,30,0,0,0,3.3000000000000003,-0.8,99.27
2019,1,2,23,30,0,0,0,3.3000000000000003,-0.8,97.18
2019,1,3,0,30,0,0,0,3.2,-0.9,95.22
2019,1,3,1,30,0,0,0,3.1,-1.3,95.45
2019,1,3,2,30,0,0,0,2.9000000000000004,-1.5,94.7
2019,1,3,3,30,0,0,0,2.9000000000000004,-1.7000000000000002,94.58
2019,1,3,4,30,0,0,0,2.9000000000000004,-1.8,94.34
2019,1,3,5,30,0,0,0,2.9000000000000004,-1.9000000000000001,94.41
2019,1,3,6,30,0,0,0,2.9000000000000004,-2,94.18
2019,1,3,7,30,0,0,0,2.9000000000000004,-2.1,93.85000000000001
2019,1,3,8,30,0,0,0,3,-1.7000000000000002,90.37
2019,1,3,9,30,106,480,41,3.3000000000000003,-0.6000000000000001,85.37
2019,1,3,10,30,223,681,57,3.6,1,78.4
2019,1,3,11,30,308,773,64,3.9000000000000004,2.4000000000000004,70.07000000000001
2019,1,3,12,30,344,795,67,4.2,3.3000000000000003,63.1
2019,1,3,13,30,332,792,65,4.4,3.6,61
2019,1,3,14,30,271,745,59,3.9000000000000004,3.3000000000000003,62.58
2019,1,3,15,30,169,629,47,2.8000000000000003,1.8,71.74
2019,1,3,16,30,51,353,25,2.2,-0.2,84.85000000000001
2019,1,3,17,30,0,0,0,2.5,-1,87.15
2019,1,3,18,30,0,0,0,2.9000000000000004,-1.1,90.04
2019,1,3,19,30,0,0,0,3.1,-1.3,94.08
2019,1,3,20,30,0,0,0,3.3000000000000003,-1.3,96.47
2019,1,3,21,30,0,0,0,3.3000000000000003,-1.2000000000000002,96.85000000000001
2019,1,3,22,30,0,0,0,3.2,-1.1,96.29
2019,1,3,23,30,0,0,0,3,-1.1,96.53
2019,1,4,0,30,0,0,0,2.9000000000000004,-1.1,96.65
2019,1,4,1,30,0,0,0,3.1,-1.2000000000000002,96.98
2019,1,4,2,30,0,0,0,3.4000000000000004,-1.2000000000000002,95.89
2019,1,4,3,30,0,0,0,3.3000000000000003,-1.3,95.60000000000001
2019,1,4,4,30,0,0,0,3.1,-1.5,95.7
